PMID,标题,摘要,关键词,主题词,期刊,年份
41879409,Role of sodium glucose cotransporter-2 (SGLT2) inhibitors in the modulation of QTc interval and ventricular arrhythmia in patients with diabetes mellitus combined with hypertension and coronary artery disease.,,Coronary artery disease; Diabetes; Hypertension; QTc interval; Sodium glucose cotransporter 2 inhibitor; Ventricular arrhythmia,,Pakistan journal of pharmaceutical sciences,2026
41879385,Pharmacological and metabolic effects of Bifidobacterium triple viable capsules and Five-animal Play in patients with impaired glucose tolerance.,,Glucose metabolism; Five-animal Play exercise; Impaired glucose tolerance; Traditional Chinese medicine exercise therapy,,Pakistan journal of pharmaceutical sciences,2026
41879197,Unveiling the Activation Mechanism of Glucagon-Like Peptide-1 Receptor by an Ago-Allosteric Modulator via Molecular Dynamics Simulations.,"The glucagon-like peptide-1 receptor (GLP-1R) is a key therapeutic target for metabolic disorders, particularly type 2 diabetes and obesity. Although current treatments are effective, their unavoidable side effects continue to drive the search for novel therapeutic strategies. Ago-allosteric modulators (ago-PAMs), which act as agonists on their own while enhancing the affinity and efficacy of orthosteric agonists, represent a promising avenue to overcome limitations associated with traditional peptide-based therapies. However, the molecular mechanisms by which ago-PAMs modulate GLP-1R activation remain poorly understood. In this work, we selected compound 2, a validated ago-PAM of GLP-1R, as a probe to explore these mechanisms at the atomic level. Using molecular dynamics (MD) simulations, we elucidate how compound 2 stabilizes the active conformation of GLP-1R through allosteric binding and reveal distinct pathways by which it enhances the binding of both peptide and non-peptide orthosteric agonists. Enhanced sampling simulations further provided a comprehensive conformational landscape of GLP-1R activation, identifying two intermediate states that bridge inactive and active conformations. Compound 2 was found to bias the receptor toward active-like ensembles, consistent with its intrinsic agonist activity. Together, our findings provide mechanistic insights into ago-allosteric modulation of GLP-1R, offering useful information for the rational design of small-molecule modulators with improved therapeutic profiles.",,,Journal of chemical information and modeling,2026
41879137,Inflammatory pathways in atrial fibrillation: mechanisms and novel therapeutic targets.,"Atrial fibrillation (AF) is the most common sustained cardiac arrhythmia, and inflammation has been suggested as a predisposing factor for AF. Systemic inflammatory disorders (including autoimmune disorder, diabetes mellitus, and obesity) or local inflammation of the heart or pericardium are linked to AF. Inflammation is known to trigger various signalling pathways and to directly influence proinflammatory cytokines, in turn promoting structural and electrical changes in the atria, increasing the susceptibility to AF. Inflammation induces oxidative stress and an imbalance in the autonomic nervous system, and enhances atrial or pulmonary vein arrhythmogenesis by modulating electrophysiological characteristics and fibrogenesis. This review explores the complex pathophysiological processes linking inflammation to AF and identifies potential novel therapeutic targets.",Atrial fibrillation; Inflammation,,European heart journal,2026
41878926,The modifiable effect of TyG index and DI-GM on the associations between conventional risk factors and stroke.,,,,Nutricion hospitalaria,2026
41878679,The Potential Role of SGLT2 Inhibitors in the Treatment of Depression: Mechanisms and Clinical Prospects.,"Major depressive disorder (MDD) is a high-burden psychiatric illness characterized by persistent low mood, diminished interest, and cognitive impairment. Its global prevalence continues to rise, accompanied by a significant risk of suicide. Traditional first-line treatments, such as selective serotonin reuptake inhibitors (SSRIs), are limited by delayed onset, limited response rates, and adverse effects, which has spurred the exploration of novel therapeutic strategies. A growing body of research indicates that the pathogenesis of MDD extends beyond the monoamine hypothesis, also involving neuroinflammation, oxidative stress, hypothalamic-pituitary-adrenal (HPA) axis dysfunction, and cerebral energy metabolism impairment. Notably, there is a well-established bidirectional association between MDD and type 2 diabetes (T2DM), with the prevalence of depression nearly doubling among diabetic patients. The pathological processes shared by both conditions include insulin resistance, oxidative stress caused by chronic hyperglycemia, accumulation of advanced glycation end products (AGEs), persistent low-grade inflammation, and overactivation of the HPA axis. These mechanisms work synergistically to promote neuronal damage and emotional dysregulation. In recent years, sodium-glucose cotransporter 2 inhibitor (SGLT2i) have emerged as a novel therapeutic direction with dual ""metabolic-neural"" regulatory potential, as they may intervene in multiple key pathways central to the comorbidity of MDD and T2DM by mitigating neuroinflammation and oxidative stress, inhibiting apoptosis, and enhancing synaptic plasticity. Although evidence for their application in the psychiatric field remains in its early stages, current preclinical and observational studies have already demonstrated significant potential. It is important to emphasize that SGLT2i may still cause adverse effects such as sleep disturbances and anxiety, requiring cautious evaluation in psychiatric applications. Additionally, there is still a significant lack of prospective randomized controlled trials with depression improvement as the primary endpoint, and their true antidepressant efficacy and safety await further validation. This review discusses their therapeutic potential and provides a foundation for developing comprehensive treatment strategies for patients with comorbid MDD and T2DM.",SGLT2i; depression; neuroprotection; oxidative stress; type 2 diabetes mellitus,,"Drug design, development and therapy",2026
41878560,RNA modifications: molecular orchestrators of wound healing.,"Wound healing is a highly coordinated biological process traditionally divided into three phases: inflammatory, proliferative, and remodeling. Diabetes and acute trauma markedly disrupt these stages, resulting in delayed wound closure, persistent inflammation, and impaired tissue regeneration. This review focuses on three trauma-relevant contexts: (i) skin wounds, including diabetic ulcers and burns; (ii) bone fracture healing; and (iii) corneal epithelial and stromal injury. Robust <i>in vivo</i> evidence is synthesized to delineate the mechanistic roles of the four principal ribonucleic acid (RNA) modifications: <i>N</i> <sup>6</sup>-methyladenosine, 5-methylcytosine, <i>N</i> <sup>7</sup>-methylguanosine, and <i>N</i> <sup>4</sup>-acetylcytidine. Additionally, the roles of RNA modification writers, erasers, and readers in regulating macrophage polarization, stem and progenitor cell fate, angiogenesis, lymphangiogenesis, and extracellular matrix remodeling are examined. Evidence across different tissues and wound healing phases is integrated rather than presented descriptively. Methodological limitations are highlighted, and knowledge gaps are identified alongside testable hypotheses. Translational opportunities with direct relevance to burn and trauma management are emphasized. This review aims to integrate mechanistic and translational insights into a coherent framework for therapeutic intervention. By defining how RNA modifications intersect with distinct wound healing phases, concrete therapeutic entry points and delivery strategies relevant to burns and trauma are identified, including topical hydrogels, exosome-based therapies, and bone-targeted nanoparticles. Designs for pragmatic clinical trials and biomarker strategies that enable translation of preclinical findings to patients are also discussed.",5-methylcytosine; Corneal repair; Epitranscriptomics; Fracture healing; N4-acetylcytidine; N6-methyladenosine; N7-methylguanosine; Wound healing,,Burns & trauma,2026
41878445,Integrated multi-omics analysis unveils microbiota-metabolite-host interactions and novel biomarkers for early diabetic kidney disease diagnosis.,,East Asian; Mendelian randomization; biomarkers; diabetic kidney disease; early diagnosis; machine learning; metabolites,,Frontiers in immunology,2026
41878314,Brain insulin resistance: a key pathological hub linking metabolic and neuropsychiatric comorbidities.,"The high rate of comorbidity between metabolic diseases and neuropsychiatric disorders suggests a shared underlying pathogenic mechanism. However, the biological basis of this relationship remains unclear. This study aims to clarify the role of brain insulin resistance (BIR) in linking metabolic dysfunction to neuropsychiatric symptoms based on existing evidence. The analysis shows that BIR disrupts limbic system function through two primary molecular pathways: (1) impairment of the PI3K/Akt/mTOR pathway, which decreases the expression of synaptic plasticity-related proteins and causes deficits in long-term potentiation (LTP); (2) activation of the TLR4/MyD88 inflammatory axis, promoting pro-inflammatory cytokine release from glial cells. These changes result in characteristic neuropsychiatric phenotypes, including amygdala hyperactivity (emotional disorders), hippocampal atrophy (memory impairment), and decreased prefrontal cortex (PFC) function (executive dysfunction). This review highlights that interventions targeting BIR might simultaneously improve metabolic outcomes and neuropsychiatric symptoms, providing a theoretical foundation for trans-diagnostic treatment models. The findings support the view of BIR as a modifiable interface for metabolic- neuropsychiatric comorbidities and advocate for the development of a multidisciplinary collaborative framework to facilitate mechanism-based precision therapy.",Alzheimer’s disease; anxiety disorders; brain insulin resistance (BIR); depressive disorders; diabetes-associated cognitive decline,,Frontiers in aging neuroscience,2026
41878258,The Impact of Omega-3 Fatty Acids on Triglyceride Levels in Patients with Metabolic Dysfunction-Associated Steatotic Liver Disease: A Meta-Analysis of Randomized Controlled Trials with Subgroup Analysis by Diabetes Status.,,metabolic dysfunction–associated steatotic liver disease; omega-3 polyunsaturated fatty acids; triglycerides; type 2 diabetes,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41878257,Resveratrol and Renal Biomarkers in Type 2 Diabetes: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.,,blood urea nitrogen; meta-analysis; resveratrol; serum creatinine; type 2 diabetes; uric acid,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41878256,Effect of Exercise Based on American College of Sports Medicine Recommendations on Glycemic Management in Patients with Type 1 Diabetes: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Exercise is a crucial lifestyle management strategy for individuals with type 1 diabetes (T1DM) to improve overall health, yet its benefits for glycemic control remain controversial. Although clinical trials have designed various exercise regimens, no studies have systematically demonstrated or compared which exercise program yields optimal outcomes for individuals with T1DM. To visually compare and identify a more reasonable exercise program, we used the comprehensive exercise prescription established by the American College of Sports Medicine (ACSM) as a foundation to compare the impact of glycemic management about exercise doses with different compliance to ACSM recommendations. We systematically searched for studies from PubMed, Embase, Web of Science, Cochrane, and OVID. Randomized controlled trials (RCTs) investigating the impact of exercise on glycemic management published between January 2000 and July 11, 2025 were included. The quality of the study was assessed by the Cochrane Collaboration Risk of Bias Tool. Subgroup analyses were performed by categorizing the interventions into high adherence versus low/uncertainty adherence to the exercise prescription developed by ACSM. To compare the results between subgroups, weighted mean difference (WMD) or standardized mean difference (SMD) were adopted, using random or fixed effects models accordingly. Fourteen studies were included in the meta-analysis, with 452 participants. Of which, 7 studies were categorized as high adherence with ACSM and 7 studies were categorized as low or uncertain adherence. Results showed exercise had significant effect on reducing Glycated Hemoglobin (HbA1c) (WMD = -0.52; 95% CI = [-0.74, -0.29]). The WMD for the high adherence group was -0.74 (95% CI: -1.04, -0.44), while for the low or uncertain adherence group was -0.21 (95% CI: [-0.56, 0.13]). Exercise programs with high adherence to the ACSM resulted in a markedly greater reduction in HbA1c compared to those with low adherence (p = 0.02). Data on triglyceride levels also showed greater improvements in the high adherence group. These findings collectively indicated that the ACSM prescription serves as an effective exercise guideline for individuals with type 1 diabetes.",ACSM recommendations; HbA1c; blood glucose; exercise dose; type 1 diabetes mellitus,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41878255,Associations Between Gestational Diabetes Mellitus and Neonatal Acyl Metabolic Profiles: An Empirical Study Based on a Birth Cohort.,,acylcarnitine; fatty acid metabolism; gestational diabetes mellitus; β-oxidation,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41878115,The protective role of hearing aids on delayed recall and spatial orientation in age-related hearing loss.,,age-related hearing loss; delayed recall; hearing aid; protective; spatial orientation,,Frontiers in public health,2026
41877963,Health Behavior Protection Motivation and eHealth Literacy in Type 2 Diabetes Patients: A Cross-Sectional Study.,,eHealth literacy; health-related behavioral protection motivation; influencing factors; latent profile analysis; type 2 diabetes,,Journal of multidisciplinary healthcare,2026
41877930,The association between family history of hypertension and diabetic kidney disease in patients with diabetes: a cross-sectional study.,,family history; hypertension; kidney; propensity score matching; type 2 diabetes,,Frontiers in endocrinology,2026
41877928,"COVID-19 associated CKM syndrome progression in diabetic patients is linked to pancreatic beta cell dysfunction, rather than RASi use: a retrospective cohort study.",,CKM syndrome; COVID-19; RASI; diabetes mellitus; propensity score matching; β-cell dysfunction,,Frontiers in endocrinology,2026
41877909,Clinical Characteristics and Glucocorticoids Efficacy in COVID-19 Patients with Type 2 Diabetes: A Multicenter Retrospective Study.,,COVID‐19; glucocorticoids; multicenter retrospective study; type 2 diabetes,,Infection and drug resistance,2026
41877706,Utility of Novel Lipid Parameters for Risk Stratification in Patients with Diabetes and STEMI-from a Prospective Study.,,Resolvin D1; fatty acid-binding protein 4; ischemic stroke; lipid parameters; myocardial infarction; proprotein convertase subtilisin/kexin type 9; triglyceride–glucose index,,Vascular health and risk management,2026
41877561,Analysis of Biomarkers in Diabetic Foot Ulcer Patients With Dampness-Heat Syndrome Based on 4D-DIA Proteomics Technology.,,4D-DIA proteomics; biomarkers; cholesterol metabolism; dampness–heat syndrome; diabetic foot ulcer; traditional Chinese medicine,,Journal of diabetes research,2026
41877519,Liposome/Exosome Hybrid Loaded with FGF2 mRNA for Diabetic Wound Healing.,"Diabetic foot ulcer (DFU) is a severe complication of diabetes, characterized by impaired healing due to chronic inflammation, poor blood vessel growth, and compromised cell function. To improve DFU healing, we create a FGF2 mRNA loaded liposome/exosome hybrid (FGF2-LEH) with dual functions of tissue regrowth and inflammation regulation. The FGF2-LEH was fabricated by incubating FGF2 mRNA with liposomes to form the FGF2-Lipo complex, followed by hybridization with platelet-rich plasma-derived exosomes (PRP-Exos) through freeze-thaw cycle and extrusion. Characterizations demonstrated that the FGF2-LEH had suitable particle size, high encapsulation efficiency, and biosafety. In vitro experiments revealed that FGF2-LEH enhanced the migration and tube formation of human umbilical vein endothelial cells, highlighting its pro-angiogenic potential. In both type 1 and type 2 diabetic mouse models, a single dose of FGF2-LEH greatly accelerated wound healing. After 15 days, the healing rate of the FGF2-LEH group exceeded 96% with improved granulation tissue growth, which was superior to that of control. Histopathological analysis further confirmed that FGF2-LEH promoted CD31<sup>+</sup> angiogenesis, increased collagen deposition, and induced macrophages toward M2 polarization, thereby improving anti-inflammatory effect. Taken together, FGF2-LEH combining the advantages of PRP-Exos and FGF2 mRNA provides an approach for DFU treatment with translational potential for clinical application.",FGF2 mRNA; diabetic foot ulcer; liposomes; platelet-rich plasma exosomes; wound healing,,ACS applied materials & interfaces,2026
41877375,"Global epidemiology of ovarian cancer: patterns, trends, and risk factors.","Ovarian cancer was the eighth most frequently diagnosed cancer among women in 2022. The global age-standardized incidence rate of ovarian cancer decreased from 7.22/100,000 to 6.71/100,000 from 1990 to 2021. However, incidence trends varied across countries. Declining ovarian cancer incidence rates were reported in high-income countries, such as the United States, Austria, the Netherlands, and Norway, while there were increasing incidence rates in Africa and parts of Asia, including Japan and India. The global age-standardized mortality rate of ovarian cancer decreased from 4.73/100,000 to 4.06/100,000 between 1999 and 2021 with varying trends among countries. Moreover, the age-standardized 5-year net ovarian cancer survival rate in most countries remained < 50%. Several specific factors related to ovarian cancer risk have been identified, including reproductive factors, use of oral contraceptives, anti-inflammatory diets, endometriosis, pelvic inflammatory disease, obesity, diabetes, and occupational asbestos exposure. No screening or prevention strategy has been proven effective in downstaging or reducing mortality from ovarian cancer in an average-risk population without a family cancer history or pathogenic variants. Indeed, risk-reducing salpingo-oophorectomy remains the gold standard for lowering the risk of ovarian cancer in high-risk individuals with hereditary mutations. This review provides a comprehensive overview of the epidemiology, risk factors, screening, and prevention of ovarian cancer, aiming to offer a global perspective on public health strategies for addressing the disease.",Ovarian cancer; epidemiology; prevention; risk factors; screening; trend,,Cancer biology & medicine,2026
41877304,Influence of Fibroblast Growth Factor 21 on Delayed Glycemic Improvement Following Acute Exercise in Type 2 Diabetes Mellitus.,,"Continuous glucose monitoring; Diabetes mellitus, type 2; Exercise; Fibroblast growth factor 21; Glycemic control",,Diabetes & metabolism journal,2026
41877247,Multidimensional drivers of diabetes prevalence among middle-aged and elderly in China: from a geographical perspective.,,Diabetes prevalence; Geographical perspective; Middle-aged and elderly in china; Multidimensional drivers; Spatiotemporal characteristics,,Diabetology & metabolic syndrome,2026
41877196,Clinical epidemiology and risk prediction of unsuccessful treatment outcomes in pulmonary tuberculosis with diabetes mellitus.,,Diabetes mellitus; Pulmonary tuberculosis; Risk factors; Risk prediction nomogram; Unsuccessful treatment outcomes,,BMC medicine,2026
41877159,Development and internal validation of a machine learning-based model to predict 1-year all-cause mortality in patients with gastrointestinal bleeding with type 2 diabetes.,,Diabetes; Explainable model; Gastrointestinal bleeding; Machine learning; Wrapper method,,BMC medical informatics and decision making,2026
41877115,Ancestry-specific genetics of amino acids and microbiota-related metabolites reveal causal effects on cardiometabolic disease in Chinese populations.,,Amino acids; Cardiometabolic disease; Genome-wide association study; Microbiota-related metabolites,,Cardiovascular diabetology,2026
41877051,Quantifying the interaction between adiposity and hyperglycemia on incident asthma among youth.,,Asthma; Children; Diabetes; National Health and Nutrition Examination Survey; Overweight,,BMC public health,2026
41876836,Decorin inhibits the migration and invasion of the LPS + high glucose-induced primary trophoblast cell through ADAMTS12.,"Decorin was identified as the most relevant biomarker in type 2 diabetes or obesity-related diseases, but its function in gestational obesity or gestational diabetes mellitus (GDM) remains unknown. RT-qPCR or western blot were employed to validate the expression of Decorin and ADAMTS12 in the umbilical cord blood or placental tissues of the aforementioned groups. Subsequently, an LPS + high glucose-induced primary trophoblast cell model was established to verify the expression of DCN and ADAMTS12 in trophoblasts. Based on this model, silencing (si) of Decorin, or Decorin recombinant protein (DCN-r) combined with si-ADAMTS12 intervention, was performed to investigate its effects on trophoblast cell proliferation, migration, invasion, and other characteristics. Compared to the normal pregnancy group, the levels of DCN and ADAMTS12 showed an increasing trend in the gestational obesity group and the GDM group. Notably, DCN and ADAMTS12 were markedly higher in the GDM with obesity group compared to either the gestational obesity or GDM-alone groups. LPS + high glucose inhibited the migration and invasion of primary trophoblast cells while promoting increased levels of DCN and ADAMTS12. Under LPS + high-glucose intervention, DCN-r further suppressed trophoblast cell migration and invasion while enhancing ADAMTS12 expression, whereas si-DCN reversed these effects. Additionally, si-ADAMTS12 attenuated the LPS + high glucose-induced decline in trophoblast cell migration and invasion and blocked the promoting effects of DCN recombinant protein. Silencing ADAMTS12 can inhibit the promotive effect of DCN on the migration and invasion capabilities of LPS + high glucose-induced primary trophoblast cells. Clinical trial number: not applicable.",ADAMTS12; DCN; GDM with obesity; Migration and invasion; Primary trophoblast cells,,In vitro cellular & developmental biology. Animal,2026
41876670,Nonlinear threshold and association of depressive symptoms with pain in middle-aged and older Chinese adults: a cross-sectional and cohort study.,"Previous studies have demonstrated a correlation between depressive symptoms and pain events, but the dose-response relationship remains unclear. This study aimed to explore this dose-response and potential non-linear relationship between depressive symptoms and pain in middle-aged and older Chinese adults. Utilizing data from the China Health and Retirement Longitudinal Study (CHARLS), both cross-sectional (n = 16,356) and longitudinal cohort analyses (n = 8204) were conducted. Multivariable logistic regression, Multivariable cox regression, restricted cubic spline (RCS), and threshold effect modeling were employed. After adjusting for demographic characteristics, lifestyle factors and multiple chronic diseases, a significant positive association was found between CESD-10 score and pain (cross-sectional OR = 1.15, 95% CI: 1.14-1.16; longitudinal HR = 1.05, 95% CI: 1.05-1.06). Besides, this association exhibited a nonlinear pattern: it was more pronounced at lower CESD-10 scores (below 13 in cross-sectional study and below 10 in longitudinal study) and attenuated at higher scores though remained significant. Subgroup analysis confirmed the consistency of this association across various strata defined by age, sex, and the presence of conditions such as hypertension or diabetes. The findings indicate that even subclinical depressive symptoms are significantly associated with an increased risk of pain, underscoring the importance of early screening and intervention for mild depressive mood in the context of pain management.",CHARLS; Depressive symptoms; Pain,,Scientific reports,2026
41876529,Long-term sucralose exposure accelerates ovarian aging via gut microbiota dysbiosis.,"The increasing prevalence of obesity, diabetes, and other metabolic disorders is driving the application of sucralose in the food industry. However, its direct effects on the reproductive function have not been sufficiently investigated. Chronic sucralose consumption may induce ovarian aging, leading to ovarian dysfunction. This occurs in association with intestinal dysbiosis and disruption of intestinal tight junctions caused by prolonged intake of sucralose. These changes increase the production of lipopolysaccharide (LPS), which is derived from gram-negative bacteria, and facilitate its translocation into the systemic circulation. Circulating LPS binds to TLR4 in ovarian granulosa cells, activating the NF-κB signaling pathway. This activation triggers the nuclear translocation of the p65 subunit and increases the transcription of downstream inflammatory cytokines. Moreover, Baicalin methyl ester may serve as an early intervention strategy. It can significantly attenuate both intestinal and ovarian inflammatory damage induced by sucralose, primarily by inhibiting the TLR4/NF-κB pathway.",,,NPJ science of food,2026
