标题,摘要,关键词,主题词,文献类型,出版日期,DOI,全文链接,PMID
[Expert consensus on clinical application of Xiangshao Granules].,"Xiangshao Granules are widely used in clinical practice for the treatment of premenstrual tension syndrome and menopausal syndrome. However, at present, there is no evidence-based medicine guideline or consensus formed. In order to standardize the rational use of drugs by clinical physicians and maximize the value of Xiangshao Granules, this consensus is formulated. The consensus is guided by clinical problems and follows the principle of &quot;evidence-based medicine as the mainstay, consensus as the supplement&quot;, objectively evaluating the evidence of Xiangshao Granules in diagnosing and treating diseases, and forming it after full discussion by experts. The consensus was jointly completed by multidisciplinary experts from 29 national tertiary Grade A hospitals and 3 provincial traditional Chinese medicine(TCM) hospitals and universities, including 16 TCM experts, 13 western medicine experts, 2 integrated TCM and western medicine experts, 1 chief pharmacist of TCM, and 2 evidence-based medicine experts. The project was proposed in August 2021 by the China Association of Chinese Medicine(202108050-GS-CACM), and the preparation process lasted for 2 years and was issued on 29 November 2023(GS/CACM 334-2023). This article elaborated on the background of the consensus, explained the preparation process including project initiation, consensus issue construction, formation of recommendations and consensus suggestions, drafting, formation of expert consensus, and solicitation of opinions, clarifying key issues such as the indications, dosage regimen and timing, dosage, course of treatment, safety, and precautions of Xiangshao Granules in clinical application, in order to guide clinicians in standardized and rational drug use.",Xiangshao Granules; consensus recommendations; editorial explanation; menopausal syndrome; premenstrual tension syndrome; recommendations,,English Abstract; Journal Article; Consensus Statement,2024-Sep,10.19540/j.cnki.cjcmm.20240428.501,https://doi.org/10.19540/j.cnki.cjcmm.20240428.501,39701692
[Guidelines for medical nutritional therapy in adult sepsis patients (2025 edition)].,"Although medical nutritional therapy affects the prognosis of sepsis patients, there is controversy over its clinical implementation process. To further standardize the medical nutrition therapy of sepsis patients, the Chinese Society of Parenteral and Enteral Nutrition (CSPEN) organized more than 50 experts from critical care medicine, clinical nutrition, evidence based medicine and statistics to formulate the guidelines. The guideline was based on grading of recommendations, development and evaluations (GRADE) standards and procedures, through systematic retrieval and evidence sorting, and combined with the practical experience of clinical experts. The guidelines provide recommendations on nutritional risk screening in medical nutrition therapy for sepsis patients, early medical nutrition therapy (enteral nutrition, parenteral nutrition, energy intake, optimal target for protein delivery), enteral nutrition infusion mode, traditional Chinese medicine and protecting intestinal function, nutritional supplements (vitamin, glutamine, omega-3 fatty acids, selenium), probiotics, and the use of proton pump inhibitors. Ultimately, 14 questions and 14 recommendations were formed in order to improve the medical nutrition therapy process for sepsis patients.",,,English Abstract; Journal Article,2025-Feb-18,10.3760/cma.j.cn112137-20240813-01859,https://doi.org/10.3760/cma.j.cn112137-20240813-01859,39956626
[Future-Oriented High-Quality Development of Integrated Traditional Chinese and Western Medicine].,"Integrated traditional Chinese and Western medicine refers to a clinical diagnosis and treatment model that incorporates the essence of traditional Chinese medicine in regard to treatment decisions based on syndrome differentiation and a reliance on modern western medicine as the basis of diagnosis and treatment. It is an organic combination of the two, with each bringing its own strengths into full play and complementing those of the other. After the founding of the People's Republic of China, the development of the integrated traditional Chinese and Western medicine has been increasingly valued. The unique advantages of the integration of traditional Chinese and Western medicine have been continuously utilized, resulting in fruitful achievements in theoretical inheritance and innovation and in the prevention and treatment of major diseases. Furthermore, integrated traditional Chinese and Western medicine has become a unique system of medicine of China. This article provides a review and elaboration of the entire process of the integration of traditional Chinese and Western medicine, including its significance, status of development, and achievements. It is suggested that, in the field of integrated traditional Chinese and Western medicine, efforts should made to delve into classic theories, identify the right entry points for integration, reconstruct and improve the theoretical system of integrated traditional Chinese and Western medicine by combining the cutting-edge achievements of modern medicine, and focus on enhancing clinical efficacy.",Development of academic disciplines; Integrated traditional Chinese and western medicine; Review; Theory,,Journal Article; Review; English Abstract,2025-Jan-20,10.12182/20250160401,https://doi.org/10.12182/20250160401; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11914025,40109472
[Chronic cough and otorhinolaryngology in children].,"<b></b>Chronic cough in children is an increasingly important public health issue. It typically involves diseases related to the upper respiratory tract, lower respiratory tract, and reflux. Due to its often multifactorial nature, the diagnosis and treatment of chronic cough present significant challenges, necessitating multidisciplinary collaboration among otolaryngology, pulmonology, and gastroenterology. This article aims to review the unique role of otolaryngology in the diagnosis and treatment of conditions associated with chronic cough in children.",chronic cough; diagnosis and treatment; pediatric,,Journal Article; Review; English Abstract,2025-Jun,10.13201/j.issn.2096-7993.2025.06.001,https://doi.org/10.13201/j.issn.2096-7993.2025.06.001; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12527663,40443370
[Focus on and response to climate-sensitive diseases].,"With the current climate change characterized by global warming becoming more severe, the increasing frequency of extreme weather events such as heatwaves, cold waves, sandstorms, floods, and droughts caused by climate change has posed serious threats to human health. Climate change is not only a major public health challenge in China, but also a focus problem in global. This article focuses on climate-sensitive diseases and summarizes and reviews the latest scientific facts and progress on how climate change impacts infectious diseases and chronic non-communicable diseases. It further proposes measures and strategies for addressing climate-sensitive diseases with public health in center, providing ideas and suggestions for scientifically addressing climate-sensitive diseases in the future.",,,English Abstract; Journal Article,2024-Dec-06,10.3760/cma.j.cn112150-20240910-00723,https://doi.org/10.3760/cma.j.cn112150-20240910-00723,39397247
Advancements in molecular imaging probes for precision diagnosis and treatment of prostate cancer.,"Prostate cancer is the second most common cancer in men, accounting for 14.1% of new cancer cases in 2020. The aggressiveness of prostate cancer is highly variable, depending on its grade and stage at the time of diagnosis. Despite recent advances in prostate cancer treatment, some patients still experience recurrence or even progression after undergoing radical treatment. Accurate initial staging and monitoring for recurrence determine patient management, which in turn affect patient prognosis and survival. Classical imaging has limitations in the diagnosis and treatment of prostate cancer, but the use of novel molecular probes has improved the detection rate, specificity, and accuracy of prostate cancer detection. Molecular probe-based imaging modalities allow the visualization and quantitative measurement of biological processes at the molecular and cellular levels in living systems. An increased understanding of tumor biology of prostate cancer and the discovery of new tumor biomarkers have allowed the exploration of additional molecular probe targets. The development of novel ligands and advances in nano-based delivery technologies have accelerated the research and development of molecular probes. Here, we summarize the use of molecular probes in positron emission tomography (PET), single-photon emission computed tomography (SPECT), magnetic resonance imaging (MRI), optical imaging, and ultrasound imaging, and provide a brief overview of important target molecules in prostate cancer.",Molecular imaging; Nanoparticle; Nuclear medicine; Prostate cancer; Prostate-specific membrane antigen (PSMA),,Journal Article; Review,2025-Jan-15,10.1631/jzus.B2300614,https://doi.org/10.1631/jzus.B2300614; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11867783,40015933
[Growing global public health challenges].,"Global public health is currently undergoing unprecedented and complex changes. The COVID-19 pandemic has exposed vulnerabilities and weaknesses of the global health system, urging nations globally to prioritize pandemic prevention and response strategies. Simultaneously, emerging infectious diseases such as mpox and avian influenza, as well as re-emerging infectious diseases including tuberculosis, AIDS, and viral hepatitis, continue to pose threats to global public health security. Moreover, the prevalence of chronic diseases remains significant, while concerns pertaining to environmental health and the well-being of children and adolescents are growing increasingly prominent. Addressing these challenges requires the formulation of effective public health policies, strengthened international cooperation, enhanced health education, improved public health literacy, and the establishment of a more resilient global public health system.",,,English Abstract; Journal Article,2025-Jan-10,10.3760/cma.j.cn112338-20241230-00839,https://doi.org/10.3760/cma.j.cn112338-20241230-00839,39828540
[Applications and perspectives of artificial intelligence in periodontology].,"Artificial intelligence (AI) is rapidly advancing in periodontology, bringing new opportunities to clinical diagnosis, risk assessment, personalized treatment planning, and remote patient care. Leveraging core technologies such as deep learning, machine learning, and natural language processing, AI significantly enhances the sensitivity of early periodontal disease detection and provides precise quantification of alveolar bone loss and soft tissue damage. AI facilitates multimodal data integration by synthesizing medical history, lifestyle factors, and imaging data, thereby offering enhanced accurate risk prediction and personalized therapeutic recommendations. By integrating remote monitoring with tailored health counseling, AI helps patients maintain adherence to self-care protocols, significantly improving their oral health-related quality of life and treatment satisfaction. Moreover, AI demonstrates considerable potential in periodontal research and education, particularly in large-scale data mining, virtual clinical case simulations, and natural language processing-assisted literature management. Nevertheless, challenges remain concerning model generalizability, data quality, ethical concerns, and interpretability. The advancement of multi-center big-data platforms is expected to foster a profound integration of AI and periodontology, propelling precision medicine and digital healthcare, enabling holistic management from prevention to long-term care, and enhancing diagnostic efficiency and patient health outcomes.",artificial intelligence; deep learning; machine learning; neural network; periodontitis,,Journal Article; Review; English Abstract,2025-Oct-01,10.7518/hxkq.2025.2025103,https://doi.org/10.7518/hxkq.2025.2025103; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12573713,41159323
[Progress in application of machine learning in epidemiology].,"Population based health data collection and analysis are important in epidemiological research. In recent years, with the rapid development of big data, Internet and cloud computing, artificial intelligence has gradually attracted attention of epidemiological researchers. More and more researchers are trying to use artificial intelligence algorithms for genome sequencing and medical image data mining, and for disease diagnosis, risk prediction and others. In recent years, machine learning, a branch of artificial intelligence, has been widely used in epidemiological research. This paper summarizes the key fields and progress in the application of machine learning in epidemiology, reviews the development history of machine learning, analyzes the classic cases and current challenges in its application in epidemiological research, and introduces the current application scenarios and future development trends of machine learning and artificial intelligence algorithms for the better exploration of the epidemiological research value of massive medical health data in China.",,,Journal Article; Review; English Abstract,2024-Sep-10,10.3760/cma.j.cn112338-20240322-00148,https://doi.org/10.3760/cma.j.cn112338-20240322-00148,39307708
[Frontiers in biomedical research].,"With continuous breakthroughs in basic research and technological innovation in the field of biomedicine, we have a much deeper understanding of the nature of life and disease pathogenesis. New medical technologies, medicines and medical instruments are emerging, which greatly promote diagnosis, treatment, prevention and healthy lifestyle. Focusing on international engagement together with the development needs of individual businesses is a major task for China's biomedical community in order to achieve high-quality outcomes. This paper emphasizes the need to further strengthen the cross-integration and development of medical science in China, realize the paradigm change of medical research, and promote the development and application of revolutionary medical technologies, diagnostics, drugs and medical devices. Eighteen frontier hot spots and common issues are highlighted for the field of biomedicine.",,,English Abstract; Journal Article,2024-Jan-02,10.3760/cma.j.cn112137-20231221-01444,https://doi.org/10.3760/cma.j.cn112137-20231221-01444,38155093
[Comparison analyses of global burden of colorectal cancer].,"<b>Objective:</b> To analyze the incidence, mortality, survival patterns, and distribution characteristics of modifiable risk factors for colorectal cancer in selected global regions. <b>Methods:</b> Secondary analysis was conducted using data from the GLOBOCAN database and previous literature. We described the number of cases and age-standardized rates (ASRs) of incidence and mortality for colorectal cancer in China, the United States, the United Kingdom, and globally in 2022 and 2020, with gender-stratified analysis. ASRs were calculated using Segi's world standard population. Temporal trends in 5-year net survival rates were compared across three periods (2000-2004, 2005-2009, 2010-2014) among countries. Regional distribution differences in colorectal cancer deaths attributable to modifiable risk factors by gender were assessed in China. <b>Results:</b> In 2022, global colorectal cancer incidence and mortality were estimated at 1.926 million new cases and 904 000 deaths. China accounted for 27% of both global incidence (517 000 cases) and mortality (240 000 deaths). China's age-standardized incidence rate (20.1 per 100 000) was lower than those of the United States (27.0 per 100 000) and the UK (30.9 per 100 000). However, China's mortality rate (8.6 per 100 000) exceeded that of the US (7.9 per 100 000) but was lower than the UK (11.8 per 100 000). Compared to 2020, China demonstrated significant mortality reductions in 2022: males declined from 14.8 to 10.9 per 100 000, females from 9.4 to 6.5 per 100 000. Five-year net survival rates in China improved across periods for colon cancer (51.4%, 55.6%, 57.6%) and rectal cancer (49.5%, 52.5%, 56.9%), yet remained consistently lower than US and UK rates. Modifiable risk factors contributed to 45.1% of male and 41.4% of female colorectal cancer deaths in China, with marked regional disparities. <b>Conclusions:</b> China exhibits higher colorectal cancer incidence and mortality than global averages, with survival gaps persisting compared to developed nations. Regionally tailored comprehensive prevention strategies are essential to reduce disease burden through risk factor modification and optimized clinical management.",,,Journal Article; Comparative Study; English Abstract,2025-Apr-23,10.3760/cma.j.cn112152-20240308-00102,https://doi.org/10.3760/cma.j.cn112152-20240308-00102,40268547
[Frontiers and challenges in public health].,"The field of global public health is undergoing multiple complex challenges, including emerging and re-emerging infectious diseases, increasing burden of chronic diseases, climate change, and demographic transitions. This article systematically reviews the latest developments and challenges in key public health areas. In infectious disease prevention and control, the ""One Health"" approach has become the core framework for addressing zoonotic diseases, while intelligent multi-point trigger and multi-pathogen surveillance and early warning systems continue to enhance early response capabilities. The paradigm of chronic disease prevention and control is gradually shifting toward precision, with large-scale population cohorts and systems epidemiology providing scientific evidence for transitioning from population-based prevention to individualized intervention. Environmental health research is becoming more refined and in-depth, evolving from macro-level exposure associations to analyses of toxicity mechanisms and specific health effects. Meanwhile, China's new demographic normal-characterized by deep aging and low fertility-coupled with rapid advancements in innovative biologics and digital technologies, is reshaping public health intervention models and service demands. Looking ahead, building a more resilient, equitable, and intelligent global health governance system requires strengthened interdisciplinary collaboration, innovative financing mechanisms, optimized collaborative governance, and the efficient translation of scientific research into policy practice.",,,English Abstract; Journal Article; Systematic Review,2026-Jan-10,10.3760/cma.j.cn112338-20260104-00003,https://doi.org/10.3760/cma.j.cn112338-20260104-00003,41566260
[Epidemiological characteristics of gastric cancer in China and worldwide].,"<b>Objective:</b> To analyze the epidemiological patterns and temporal trends of gastric cancer incidence and mortality in China and globally, and to formulate evidence-based prevention strategies. <b>Methods:</b> Based on the GLOBOCAN 2022 database, we evaluated gastric cancer incidence and mortality patterns stratified by sex, age group, geographic region and human development index (HDI). Simple linear regression and Spearman's correlation analysis assessed associations between HDI and age-standardized incidence rate (ASIR) or age-standardized mortality rates (ASMR). Temporal trends from 2002 to 2020 were described in selected regions, and projections of global gastric cancer burden by 2050 were estimated. <b>Results:</b> In 2022, there were estimated 969 000 new gastric cases and 660 000 deaths worldwide. The burden was higher in men than in women, with incidence peaking at ages 65-69 and mortality at 70-74. ASIR was weakly correlated with HDI (<i>r</i>=0.261, <i>P</i>＜0.001), while no significant association was found between HDI and ASMR (<i>r</i>=-0.005, <i>P</i>=0.947). China accounted for 359 000 new cases and 260 000 deaths, representing 37.0% and 39.4% of the global totals, respectively. Both ASIR (13.7/10<sup>5</sup>) and ASMR (9.4/10<sup>5</sup>) in China exceeded the global averages (9.2/10<sup>5</sup> and 6.1/10<sup>5</sup>, respectively). Although the overall global burden is decreasing, absolute case numbers are projected to increase by 84.1% (1.78 million cases) and deaths by 91.2% (1.26 million cases) by 2050. High-HDI regions will bear greater absolute burdens, whereas low-HDI regions face steeper relative increases. In China, new cases and deaths are projected to reach 607 000 and 504 000 by 2050, rising by 69.1% and 93.8%, respectively. <b>Conclusions:</b> Despite a declining global trend, the burden of gastric cancer remains substantial, with notable disparities across regions, sex and age groups. Targeted strategies are urgently needed, particularly in East Asia, among males, and older populations, to mitigate the future burden.",,,English Abstract; Journal Article,2025-Jun-23,10.3760/cma.j.cn112152-20240831-00376,https://doi.org/10.3760/cma.j.cn112152-20240831-00376,40534261
[Third-generation biomedical materials and regenerative medicine].,"To summarize the developmental process of biomedical materials and regenerative medicine. After reviewing and analyzing the literature concerned, we put forward the developmental direction of biomedical materials and regenerative medicine in the future. Biomedical materials developed from the first- and second-generations to the third-generation in the 1990s. Regenerative medicine was able to help the injured tissues and organs to be regenerated by the use of the capability of healing themselves. This kind of medicine included the technologies of the stem cells and the cloning, the tissue engineering, the substitute tissues and organs, xenotransplantation and so on. The third-generation biomaterials possess the following two properties: degradation and bioactivity; and they can help the body heal itself once implanted. Regenerative medicine is a rapidly advancing field that opens a new and exciting opportunity for completely revolutionary therapeutic modalities and technologies.",,,"English Abstract; Journal Article; Research Support, Non-U.S. Gov't; Review",2006-Feb,,,16529332
[Interpretation of national clinical practice guideline on obesity management (2024 edition)].,"Entrusted by the National Health Commission, the national clinical practice guideline on obesity management aims to standardize the clinical diagnosis and treatment of obesity and prescribe scientific and effective treatment plans to patients, in order to continuously improve the homogenization across healthcare organizations, enhance the effectiveness of obesity treatment and improve long-term health benefits. This guideline is applicable to professionals engaging in the clinical practice on obesity, including clinical physicians, nutritionists, fitness and rehabilitation therapists, nurses, case managers, medical administrators, public health practitioners, as well as medical social workers. The purpose is to guide the clinical diagnosis, interventional treatment, health education, and construction of multi-disciplinary models of obesity management. This article aims to interpret the guidelines on key aspects such as the etiology of obesity, epidemiology, diagnostic assessment, classification and staging, risks of obesity related diseases and benefits of weight loss, principles of treatment, multidisciplinary treatment pathways, multidisciplinary treatment methods, and multidisciplinary collaborative treatment models.",,,English Abstract; Journal Article,2025-May-13,10.3760/cma.j.cn112137-20250221-00414,https://doi.org/10.3760/cma.j.cn112137-20250221-00414,40340216
[Guideline for diagnosis and treatment of sarcopenia in China (2024 edition)].,"Sarcopenia, an aging-related geriatric syndrome, is characterized by decreased muscle mass, declined muscle strength, and/or physical dysfunction. It is associated with significantly increased risks of falls, frailty, disability, and even death, placing a heavy burden on individuals and society. Standardized diagnosis and treatment of sarcopenia are of paramount importance for clinical practice and the development of healthy aging in China. However, to date, there is a lack of evidence-based clinical practice guideline for the diagnosis and treatment therapy of sarcopenia in China. Therefore, the National Clinical Research Center for Geriatric Diseases (Xiangya Hospital) has initiated the development of this guideline for sarcopenia, with the approval of Geriatrics Branch of the Chinese Medical Association. Development of this guideline adhered to the Guiding principles for development/revision of clinical practice guidelines in China (2022 version) and the Reporting Items for Practice Guidelines in Healthcare (RIGHT). The Grading of Recommendations Assessment, Development and Evaluation (GRADE) system was used to assess the strength of evidence. The Delphi technique was used to determine the strength of recommendations. Finally, a total of 18 evidence-based recommendations for the diagnosis and treatment of sarcopenia were formulated in response to 12 most concerned important clinical questions about sarcopenia. This guideline aims to enhance the scientific approach to sarcopenia diagnosis and treatment in China, promote the in-depth development of sarcopenia research, and ultimately improve the quality of patient-centered healthcare services.",,,English Abstract; Journal Article,2025-Jan-21,10.3760/cma.j.cn112137-20240724-01701,https://doi.org/10.3760/cma.j.cn112137-20240724-01701,39828577
